GeneID	GSM4749051	GSM4749056	GSM4749073
100287102	0	0	0
653635	0	0	0
102466751	0	0	0
107985730	0	0	0
100302278	0	0	0
645520	0	0	0
79501	0	0	0
100996442	0	0	0
729737	0	0	0
102725121	0	0	0
102723897	0	0	0
102465909	0	0	0
107985721	0	0	0
112268260	0	0	0
729759	0	0	0
100132287	0	0	0
105378947	0	0	0
101928626	0	0	0
113219467	7	9	13
81399	0	0	0
100133331	0	1	0
107984841	0	0	0
107984847	0	0	0
107984849	0	0	0
100288069	0	0	0
105378580	2	0	1
400728	0	0	0
79854	0	0	0
643837	0	0	1
107984850	0	0	0
284593	0	0	0
284600	0	0	0
100130417	0	0	0
107985728	0	0	0
148398	0	0	0
26155	3	0	5
339451	0	0	1
84069	0	0	0
84808	0	0	0
57801	0	0	1
9636	5	2	1
375790	7	7	9
100288175	0	0	0
112267874	0	0	0
105378948	0	0	0
401934	0	0	0
54991	1	1	0
254099	0	0	0
406984	0	0	0
406983	0	0	0
554210	2	0	0
100506376	0	0	0
254173	0	0	0
8784	0	0	0
7293	0	0	0
51150	3	4	3
126792	3	1	0
388581	0	0	0
118424	1	2	2
101928895	0	0	0
6339	0	0	0
116983	0	0	1
102465434	0	0	0
109623456	0	0	0
126789	0	0	1
54973	1	1	2
102465435	0	0	0
80772	0	0	3
83756	0	0	0
1855	0	0	4
102466740	0	0	0
54587	4	7	1
54998	0	1	2
81669	6	10	6
148413	1	1	1
55052	0	1	2
107984868	0	0	0
441869	0	0	0
105378585	0	0	0
643965	0	0	0
102724312	0	0	0
107985729	0	0	0
64856	0	0	0
219293	0	0	0
83858	0	0	1
55210	0	0	0
339453	0	0	0
29101	3	3	3
643988	0	0	0
105378586	0	0	0
142678	1	1	0
8510	0	0	0
984	0	0	1
728661	5	4	10
8511	0	0	0
728642	0	1	1
9906	4	2	8
112268218	0	0	0
65220	2	0	3
2782	34	14	33
105378949	0	0	0
163688	0	0	0
339456	0	0	0
85452	0	0	1
107984872	0	0	0
105378589	0	0	0
2563	0	0	0
105378590	0	0	0
105378591	0	0	0
5590	2	1	2
100506504	0	0	0
199990	0	0	2
112268219	2	0	0
105378593	0	0	0
6497	15	5	5
79906	0	0	1
100129534	0	0	0
11079	2	3	8
5192	0	0	0
9651	1	0	1
55229	0	0	1
388585	0	0	0
115110	0	0	0
8764	0	0	0
100996583	0	0	0
127281	1	1	0
79258	0	0	0
105378597	0	0	0
100287898	0	0	0
105378603	0	0	0
105378602	0	0	0
105378601	0	0	0
112268220	0	0	0
107985732	0	0	0
105378600	0	0	0
105378598	0	0	0
107984904	0	0	0
105378599	0	0	0
140625	0	0	0
440556	0	0	0
63976	0	0	0
100422968	0	0	0
105378606	0	0	0
107984909	0	0	0
105378605	0	0	0
105378604	0	0	0
27237	0	0	1
1953	3	4	0
105378608	0	0	0
693135	0	0	0
105378607	0	0	0
127262	3	1	1
49856	0	0	2
7161	0	0	0
105378610	0	0	0
